algorithm,Decision Tree,KNN,LightGBM,Random Forest,SVM
AES,1.0,0.6666666666666666,1.0,1.0,1.0
ASCONv2,1.0,1.0,1.0,1.0,1.0
LEA,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
MSEA,1.0,0.0,1.0,1.0,0.6666666666666666
PRESENT,1.0,1.0,1.0,1.0,0.6666666666666666
PRINCE,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
RECTANGLE,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
SIMON,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
XTEA,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0
